fuelTypeCode,stationName,Street Address,Intersection Directions,City,State,ZIP,Latitude,Longitude,Station Phone,Status Code,Groups With Access Code,Access Days Time,Cards Accepted,BD Blends,NG Fill Type Code,NG PSI,EV Level1 EVSE Num,EV Level2 EVSE Num,EV DC Fast Count,EV Network,EV Network Web,Geocode Status,Date Last Confirmed,ID,Updated At,Owner Type Code,Open Date,NG Vehicle Class,LPG Primary,E85 Blender Pump,EV Connector Types,access_code,country,groups_with_access_code_french,Access Detail Code,Facility Type,CNG Dispenser Num,CNG Total Compression Capacity,CNG Storage Capacity,e85 Other Ethanol Blends,EV Pricing,LPG Nozzle Types,CNG Fill Type Code,CNG PSI,CNG Vehicle Class,EV On Site Renewable Source,GeoLocation
E85,Kum & Go #938,308 Agate Ave,,Granby,CO,80446,40.085906,-105.947125,970-887-3031,E,Public,24 hours daily,A Cash D FuelMan M V Voyager Wright_Exp,,,,,,,,,200-9,06/14/2022,35447,2022-06-14 16:23:53 UTC,P,01/17/2020,,,false,,public,US,Public,,CONVENIENCE_STORE,,,,,,,,,,,POINT (-105.947125 40.085906)
ELEC,AC GC 3,4430 S Adams County Pkwy,,Brighton,CO,80601,39.924079,-104.811713,888-758-4389,E,Public,24 hours daily,,,,,,2,,ChargePoint Network,http://www.chargepoint.com/,GPS,09/22/2022,63304,2022-09-22 01:03:03 UTC,,09/16/2014,,,,J1772,public,US,Public,,,,,,,,,,,,,POINT (-104.811713 39.924079)
ELEC,Broadcom,4380 Ziegler Rd,,Fort Collins,CO,80525,40.526517,-105.017035,,E,Private,,,,,,,2,,Non-Networked,,200-9,01/10/2022,85785,2022-02-10 19:42:29 UTC,P,06/27/2017,,,,J1772,private,US,Privé,,OFFICE_BLDG,,,,,,,,,,,POINT (-105.017035 40.526517)
ELEC,Pederson Volvo,4455 S Mason St,,Fort Collins,CO,80525,40.525902,-105.079871,,E,Private,Service center use only,,,,,,2,,Non-Networked,,200-9,12/09/2021,91944,2022-02-10 19:42:29 UTC,P,09/01/2017,,,,J1772,private,US,Privé,,CAR_DEALER,,,,,,,,,,,POINT (-105.079871 40.525902)
ELEC,Traer Creek Plaza,101 Fawcett Rd,,Avon,CO,81620,39.627988,-106.502243,970-949-6776,E,Public,24 hours daily,,,,,,4,,Non-Networked,,200-9,02/15/2021,129039,2021-03-11 23:22:17 UTC,P,06/29/2019,,,,J1772,public,US,Public,,SHOPPING_CENTER,,,,,Free,,,,,,POINT (-106.502243 39.627988)
ELEC,BVSD LOUISVILLE MID1,1341 Main Street,,Louisville,CO,80027,39.984244,-105.132555,888-758-4389,E,Public,24 hours daily,,,,,,2,,ChargePoint Network,http://www.chargepoint.com/,GPS,09/22/2022,182631,2022-09-22 00:53:45 UTC,,01/27/2021,,,,J1772,public,US,Public,,,,,,,,,,,,,POINT (-105.132555 39.984244)
ELEC,Arapaho-Roosevelt National Forest,2150 Centre Ave,Bldg E,FORT COLLINS,CO,80526,40.560314,-105.080945,,E,Private - Government only,,,,,,,2,,Non-Networked,,GPS,02/22/2021,184396,2021-08-04 00:01:52 UTC,FG,01/15/2021,,,,J1772,private,US,Privé - Réservé au gouvernement,GOVERNMENT,FED_GOV,,,,,,,,,,,POINT (-105.080945 40.560314)
ELEC,The Lab Building Garage,2470 17th St,,Denver,CO,80202,39.7586624896199,-105.007441453049,,E,Public - Credit card at all times,24 hours daily,A D Debit M V,,,,,2,,Non-Networked,,GPS,11/04/2021,197457,2022-02-10 19:42:29 UTC,P,10/04/2021,,,,J1772,public,US,Public - Carte de crédit en tout temps,CREDIT_CARD_ALWAYS,PARKING_GARAGE,,,,,,,,,,,POINT (-105.007441453049 39.7586624896199)
ELEC,CDOT CORPCIR1,425 Corporate Cir,,Golden,CO,80401,39.721146,-105.192994,888-758-4389,E,Public,24 hours daily,,,,,,2,,ChargePoint Network,http://www.chargepoint.com/,GPS,09/22/2022,199126,2022-09-22 00:52:55 UTC,,10/27/2021,,,,J1772,public,US,Public,,,,,,,,,,,,,POINT (-105.192994 39.721146)
ELEC,RUSTIC LLC STATION 2,5670 Tower Rd,,Denver,CO,80249,39.79958,-104.771935,888-758-4389,E,Public,24 hours daily,,,,,,2,,ChargePoint Network,http://www.chargepoint.com/,GPS,09/22/2022,213422,2022-09-22 01:25:02 UTC,,04/05/2022,,,,J1772,public,US,Public,,,,,,,,,,,,,POINT (-104.771935 39.79958)
ELEC,IMC CHARGE 1 THORNTON-FS1-A,York St Thornton pkwy,,Thornton,CO,80229,39.87025,-104.95925,888-758-4389,E,Public,24 hours daily,,,,,,2,,ChargePoint Network,http://www.chargepoint.com/,GPS,09/22/2022,225422,2022-09-22 01:14:58 UTC,,08/12/2022,,,,J1772,public,US,Public,,,,,,,,,,,,,POINT (-104.95925 39.87025)
ELEC,"Walgreens - Littleton, CO #1306",11605 W Belleview Ave,,Littleton,CO,80127,39.6247644,-105.1294987,800-663-5633,E,Public,MO: Not Specified; TU: Not Specified; WE: Not Specified; TH: Not Specified; FR: Not Specified; SA: Not Specified; SU: Not Specified,,,,,,1,,SemaCharge Network,https://semaconnect.com/,GPS,09/22/2022,148000,2022-09-22 00:34:58 UTC,,01/31/2012,,,,J1772,public,US,Public,,,,,,,$2.00/Hr Parking Fee,,,,,,POINT (-105.1294987 39.6247644)
ELEC,750 MAIN STATION #2,750 Main St,,Grand Junction,CO,81501,39.067613,-108.56002,888-758-4389,E,Public,24 hours daily,,,,,,2,,ChargePoint Network,http://www.chargepoint.com/,GPS,09/22/2022,166794,2022-09-22 01:13:14 UTC,,09/11/2020,,,,J1772,public,US,Public,,,,,,,,,,,,,POINT (-108.56002 39.067613)
ELEC,City of Boulder - Park Central Building,1739 Broadway,,Boulder,CO,80302,40.0148,-105.2792,,E,Private,Drivers must bring their own J1772 cordset for Level 1 charging,,,,,2,1,,Non-Networked,,GPS,01/10/2022,42543,2022-02-10 21:00:18 UTC,LG,03/01/2018,,,,J1772 NEMA520,private,US,Privé,,MUNI_GOV,,,,,,,,,,SOLAR,POINT (-105.2792 40.0148)
ELEC,ENTRYWAYSTATION EAST STATION,99 Bear Creek Ave,,Morrison,CO,80465,39.653124,-105.18804,888-758-4389,E,Public,24 hours daily,,,,,,2,,ChargePoint Network,http://www.chargepoint.com/,GPS,09/22/2022,190744,2022-09-22 01:06:27 UTC,,06/05/2021,,,,J1772,public,US,Public,,,,,,,,,,,,,POINT (-105.18804 39.653124)
ELEC,CDOT HOWARD FLEET 2,2829 W Howard Pl,,Denver,CO,80204,39.738501,-105.023944,888-758-4389,E,Public,24 hours daily,,,,,,2,,ChargePoint Network,http://www.chargepoint.com/,GPS,09/22/2022,206416,2022-09-22 00:57:24 UTC,,02/16/2022,,,,J1772,public,US,Public,,,,,,,,,,,,,POINT (-105.023944 39.738501)
ELEC,THE COLORADAN COLORADAN P1 S,1750 Wewatta St,,Denver,CO,80202,39.754559,-105.000327,888-758-4389,T,TEMPORARILY UNAVAILABLE (Public),24 hours daily,,,,,,1,,ChargePoint Network,http://www.chargepoint.com/,GPS,09/22/2022,173933,2022-09-22 01:01:39 UTC,,01/27/2021,,,,J1772,public,US,TEMPORAIREMENT SUSPENDU (Public),,,,,,,,,,,,,POINT (-105.000327 39.754559)
ELEC,"7-ELEVEN, INC. 38351 CMRCE DC2",15200 E 120th Ave,,Commerce City,CO,80022,39.914043,-104.809792,888-758-4389,E,Public,24 hours daily,,,,,,,1,ChargePoint Network,http://www.chargepoint.com/,GPS,09/22/2022,202426,2022-09-22 01:23:31 UTC,,12/11/2021,,,,CHADEMO J1772COMBO,public,US,Public,,,,,,,,,,,,,POINT (-104.809792 39.914043)
ELEC,ECG JUSTICE CTR 1,955 Chambers Ave,,Eagle,CO,81631,39.663905,-106.816998,888-758-4389,E,Public,24 hours daily,,,,,,2,,ChargePoint Network,http://www.chargepoint.com/,GPS,09/22/2022,164582,2022-09-22 01:11:54 UTC,,07/28/2020,,,,J1772,public,US,Public,,,,,,,,,,,,,POINT (-106.816998 39.663905)
ELEC,"Walgreens - Highlands Ranch, CO #4952",9141 S Broadway,,Highlands Ranch,CO,80129,39.54982,-104.99239,800-663-5633,E,Public,MO: Not Specified; TU: Not Specified; WE: Not Specified; TH: Not Specified; FR: Not Specified; SA: Not Specified; SU: Not Specified,,,,,,1,,SemaCharge Network,https://semaconnect.com/,GPS,09/22/2022,225271,2022-09-22 00:34:58 UTC,,08/11/2022,,,,J1772,public,US,Public,,,,,,,$2.00/Hr Parking Fee,,,,,,POINT (-104.99239 39.54982)
ELEC,ASPEN INSTITUTE ASPEN MEADOWS 1,811-823 Meadows Rd,,Aspen,CO,81611,39.200518,-106.830615,888-758-4389,E,Public,24 hours daily,,,,,,2,,ChargePoint Network,http://www.chargepoint.com/,GPS,09/22/2022,191402,2022-09-22 01:19:28 UTC,,06/23/2021,,,,J1772,public,US,Public,,,,,,,,,,,,,POINT (-106.830615 39.200518)
ELEC,530304 : Legacy Plaza,1551 Wewatta Street,,Denver,CO,80202,39.7522676,-105.0031001,800-663-5633,E,Public,MO: Not Specified; TU: Not Specified; WE: Not Specified; TH: Not Specified; FR: Not Specified; SA: Not Specified; SU: Not Specified,,,,,,4,,SemaCharge Network,https://semaconnect.com/,GPS,09/22/2022,194817,2022-09-22 00:34:58 UTC,,09/02/2021,,,,J1772,public,US,Public,,,,,,,FREE,,,,,,POINT (-105.0031001 39.7522676)
ELEC,530309 : 16 Chestnut,1681 Chestnut Place,,Denver,CO,80202,39.7545596,-105.0031532,800-663-5633,E,Public,MO: Not Specified; TU: Not Specified; WE: Not Specified; TH: Not Specified; FR: Not Specified; SA: Not Specified; SU: Not Specified,,,,,,6,,SemaCharge Network,https://semaconnect.com/,GPS,09/22/2022,147961,2022-09-22 00:34:58 UTC,,04/04/2019,,,,J1772,public,US,Public,,,,,,,$1.50-$7.00/Hr Variable Parking Fee,,,,,,POINT (-105.0031532 39.7545596)
ELEC,BLDG 3 STATION AUBURN BROOK 1,1193 Auburn Dr,,Castle Rock,CO,80109,39.379604,-104.874748,888-758-4389,E,Public,24 hours daily,,,,,,2,,ChargePoint Network,http://www.chargepoint.com/,GPS,09/22/2022,173611,2022-09-22 00:58:30 UTC,,01/27/2021,,,,J1772,public,US,Public,,,,,,,,,,,,,POINT (-104.874748 39.379604)
ELEC,SPARK RAILYARDS S'PARK 1,3401 Bluff St,,Boulder,CO,80301,40.028169,-105.249676,888-758-4389,E,Public,24 hours daily,,,,,,1,,ChargePoint Network,http://www.chargepoint.com/,GPS,09/22/2022,196053,2022-09-22 01:16:21 UTC,,09/18/2021,,,,J1772,public,US,Public,,,,,,,,,,,,,POINT (-105.249676 40.028169)
ELEC,UNIV. OF COLO WOLF LAW WEST,2450 Kittredge Loop Dr,,Boulder,CO,80305,40.00114,-105.26303,888-758-4389,E,Public,24 hours daily,,,,,,2,,ChargePoint Network,http://www.chargepoint.com/,GPS,09/22/2022,98789,2022-09-22 01:08:05 UTC,,06/08/2018,,,,J1772,public,US,Public,,,,,,,,,,,,,POINT (-105.26303 40.00114)
ELEC,HN21006 LAJU CO LA JUNTA DC2,5 Walmart Way,,La Junta,CO,81050,38.000613,-103.592864,888-758-4389,E,Public,24 hours daily,,,,,,,1,ChargePoint Network,http://www.chargepoint.com/,GPS,09/22/2022,192875,2022-09-22 01:19:52 UTC,,07/15/2021,,,,CHADEMO J1772COMBO,public,US,Public,,,,,,,,,,,,,POINT (-103.592864 38.000613)
LPG,U-Haul,2175 Victor Pl,Southbound Powers south of Constitution before Palmer Park,Colorado Springs,CO,80915,38.862502,-104.721094,719-574-5168,E,Public,"7am-7pm M-Th, 7am-8pm F, 7am-7pm Sat, 9am-5pm Sun",A Cash Checks D M V,,,,,,,,,200-9,12/09/2021,60082,2022-02-22 14:31:10 UTC,P,01/31/2014,,true,,,public,US,Public,,RENTAL_CAR_RETURN,,,,,,"[""ACME"", ""QUICK_CONNECT""]",,,,,POINT (-104.721094 38.862502)
ELEC,City of Centennial Public Works,7272 S Eagle St,,Centennial,CO,80112,39.5856367757025,-104.816974206523,866-816-7584,E,Public - Credit card at all times,24 hours daily,A D Debit M V,,,,,2,,EV Connect,http://evconnect.com/,GPS,08/10/2022,222834,2022-08-10 13:32:10 UTC,P,07/05/2022,,,,J1772,public,US,Public - Carte de crédit en tout temps,CREDIT_CARD_ALWAYS,MUNI_GOV,,,,,,,,,,,POINT (-104.816974206523 39.5856367757025)
ELEC,BVSD MONARCH K8 1,263 Campus Dr,,Louisville,CO,80027,39.950887,-105.144502,888-758-4389,E,Public,24 hours daily,,,,,,2,,ChargePoint Network,http://www.chargepoint.com/,GPS,09/22/2022,182994,2022-09-22 01:01:44 UTC,,01/27/2021,,,,J1772,public,US,Public,,,,,,,,,,,,,POINT (-105.144502 39.950887)
ELEC,BVSD MANHATTAN MID1,290 Manhattan Drive,,Boulder,CO,80303,39.993373,-105.228681,888-758-4389,E,Public,24 hours daily,,,,,,2,,ChargePoint Network,http://www.chargepoint.com/,GPS,09/22/2022,182659,2022-09-22 00:54:16 UTC,,01/27/2021,,,,J1772,public,US,Public,,,,,,,,,,,,,POINT (-105.228681 39.993373)
ELEC,GOLDEN STATIONS JACKSON ST GAR1,1250 Jackson St,,Golden,CO,80401,39.755169,-105.220129,888-758-4389,T,TEMPORARILY UNAVAILABLE (Public),24 hours daily,,,,,,2,,ChargePoint Network,http://www.chargepoint.com/,GPS,09/22/2022,161476,2022-09-22 00:44:39 UTC,,06/12/2020,,,,J1772,public,US,TEMPORAIREMENT SUSPENDU (Public),,,,,,,,,,,,,POINT (-105.220129 39.755169)
E85,Fort Carson Super Station,9650 Butts Rd,,Fort Carson,CO,80913,38.71128,-104.777678,,E,Private - Government only,"Also accepts VIL Key, Military CAT",Proprietor Wright_Exp,,,,,,,,,200-8,07/12/2022,48535,2022-07-12 20:31:42 UTC,FG,08/01/2012,,,false,,private,US,Privé - Réservé au gouvernement,GOVERNMENT,MIL_BASE,,,,,,,,,,,POINT (-104.777678 38.71128)
ELEC,Wyndham Club Avon,75 Benchmark Rd.,,Avon,CO,81620,39.6345583,-106.524011,800-663-5633,E,Public,MO: Not Specified; TU: Not Specified; WE: Not Specified; TH: Not Specified; FR: Not Specified; SA: Not Specified; SU: Not Specified,,,,,,1,,SemaCharge Network,https://semaconnect.com/,GPS,09/22/2022,195571,2022-09-22 00:34:58 UTC,,09/08/2021,,,,J1772,public,US,Public,,,,,,,FREE,,,,,,POINT (-106.524011 39.6345583)
ELEC,ARAPAHOE BASIN STATION 5,28194 US-6,,Dillon,CO,80435,39.642315,-105.87243,888-758-4389,E,Public,Mon 7:00am - 6:00pm; Tue 7:00am - 6:00pm; Wed 7:00am - 6:00pm; Thu 7:00am - 6:00pm; Fri 7:00am - 6:00pm; Sat 7:00am - 6:00pm; Sun 7:00am - 6:00pm,,,,,,2,,ChargePoint Network,http://www.chargepoint.com/,GPS,09/22/2022,205203,2022-09-22 01:24:38 UTC,,01/22/2022,,,,J1772,public,US,Public,,,,,,,,,,,,,POINT (-105.87243 39.642315)
ELEC,Upper Garage,1401 Wynkoop St.,Chargers are located on the top level of the upper garage (P2) on the west side of the garage.,Denver,CO,80202,39.7503814,-105.0031277,800-663-5633,E,Public,MO: Not Specified; TU: Not Specified; WE: Not Specified; TH: Not Specified; FR: Not Specified; SA: Not Specified; SU: Not Specified,,,,,,4,,SemaCharge Network,https://semaconnect.com/,GPS,09/22/2022,217344,2022-09-22 00:34:58 UTC,,05/12/2022,,,,J1772,public,US,Public,,,,,,,$1.00/Hr Parking Fee,,,,,,POINT (-105.0031277 39.7503814)
ELEC,Blue Lake Ranch - Tesla Destination,16919 Hwy 140,,Hesperus,CO,81326,37.213179,-108.074355,970-385-4537  877-798-3752,E,Public,24 hours daily; for customer use only; see front desk for access,,,,,,2,,Tesla Destination,https://www.tesla.com/destination-charging,200-9,11/03/2020,113582,2021-03-11 23:22:17 UTC,P,08/01/2015,,,,J1772 TESLA,public,US,Public,,HOTEL,,,,,Free,,,,,,POINT (-108.074355 37.213179)
E85,Kum & Go #697,361 N Union Blvd,,Colorado Springs,CO,80909,38.83846470341336,-104.7940670674591,719-370-3170,E,Public,24 hours daily,A Cash D FuelMan M V Voyager Wright_Exp,,,,,,,,,GPS,06/14/2022,201139,2022-06-14 16:23:53 UTC,P,09/16/2021,,,true,,public,US,Public,,CONVENIENCE_STORE,,,,"[""E15""]",,,,,,,POINT (-104.7940670674591 38.83846470341336)
ELEC,BOULDER COUNTY COFFMAN FLT 3,508 Terry St,,Longmont,CO,80501,40.167767,-105.10479,888-758-4389,E,Public,24 hours daily,,,,,,1,,ChargePoint Network,http://www.chargepoint.com/,GPS,09/22/2022,180705,2022-09-22 01:11:36 UTC,,01/27/2021,,,,J1772,public,US,Public,,,,,,,,,,,,,POINT (-105.10479 40.167767)
ELEC,SVVSD MEAD HS 1,12636-12734 Co Rd 7,,Longmont,CO,80504,40.184578,-104.997297,888-758-4389,E,Public,24 hours daily,,,,,,2,,ChargePoint Network,http://www.chargepoint.com/,GPS,09/22/2022,94945,2022-09-22 00:53:06 UTC,,04/12/2018,,,,J1772,public,US,Public,,,,,,,,,,,,,POINT (-104.997297 40.184578)
ELEC,UCHealth Fountain Freestanding ED,7890 Fountain Mesa Road,,Fountain,CO,80817,38.7186988,-104.7020138,800-663-5633,T,TEMPORARILY UNAVAILABLE (Public),MO: Not Specified; TU: Not Specified; WE: Not Specified; TH: Not Specified; FR: Not Specified; SA: Not Specified; SU: Not Specified,,,,,,1,,SemaCharge Network,https://semaconnect.com/,GPS,09/22/2022,213867,2022-09-22 00:34:58 UTC,,04/13/2022,,,,J1772,public,US,TEMPORAIREMENT SUSPENDU (Public),,,,,,,$2.00/Hr Parking Fee,,,,,,POINT (-104.7020138 38.7186988)
