date,cityGatePrice,residentialPrice,residentialFromCO,commercialPrice,commercialFromCO,industrialPrice,industrialFromCO,electricPowerConsumersPrice
Jul 2019,3.33,13.49,100,8.80,90.5,5.81,6.1,
Apr 2019,3.35,8.20,100,7.24,92.4,5.43,6.7,
Apr 2018,3.04,7.46,100,6.49,92.8,5.17,6.9,
Jun 2018,4.04,14.56,100,9.05,90.7,6.93,4.9,
Mar 2019,3.79,7.66,100,7.23,95.1,5.73,9.5,
Oct 2019,2.8,7.45,100,6.43,94.4,5.20,7.4,
Aug 2019,3.87,14.14,100,8.90,90.5,5.78,5.7,
Mar 2018,3.31,7.38,100,6.81,94.4,5.53,7.4,
Sep 2019,4.47,12.82,100,8.71,90.5,5.73,5.8,
Nov 2019,2.91,6.41,100,5.87,95,4.31,11.3,
May 2018,3.55,10.56,100,8.43,91,5.78,6.1,
Dec 2018,4.05,6.30,100,6.05,94.9,4.98,8.2,
Feb 2019,3.56,7.57,100,7.17,94.8,6.04,9.2,
May 2019,3.01,8.74,100,7.29,92.5,5.69,6.9,
Feb 2018,3.4,6.67,100,6.27,95.2,5.45,8,
Jun 2019,3.73,11.32,100,8.19,90.7,5.86,6.1,
Dec 2019,2.97,6.21,100,5.74,95.4,4.32,10.7,
Sep 2018,4.38,13.29,100,9.31,90.2,3.04,12.1,
Aug 2018,4.4,14.75,100,9.20,90.8,6.62,5.5,
Nov 2018,3.97,6.71,100,6.27,95.1,5.16,8.1,
Oct 2018,3.45,8.00,100,6.82,94.5,5.50,6.3,
Jul 2018,4.09,17.38,100,10.84,90.3,7.03,5.5,
Jan 2019,3.8,7.22,100,6.88,95.1,5.75,9.4,
Jan 2018,3.39,6.66,100,6.33,95.3,5.36,7.9,
Oct 2020,2.94,8.08,100,6.83,94.2,6.07,7.4,
Jan 2020,2.56,5.98,100,5.54,95.4,3.99,11.3,
Sep 2020,3.5,10.34,100,7.79,91.8,5.81,6.7,
Jun 2020,2.98,11.55,100,8.66,90.7,7.36,5,
May 2020,3.03,8.85,100,6.73,91.6,4.47,7.8,
Dec 2020,2.97,6.96,100,6.23,95.9,5.08,11.2,
Mar 2020,2.4,6.50,100,5.51,93.9,4.28,8.6,
Aug 2020,3.37,13.39,100,9.19,90.4,6.39,6.2,
Feb 2020,2.24,5.85,100,5.39,95,4.10,9.5,
Apr 2020,2.02,6.66,100,5.77,93.2,4.31,7.8,
Jul 2020,3.25,13.30,100,9.72,90.2,6.60,5.7,
Nov 2020,3.44,7.46,100,6.56,95.1,5.13,9.7,
Jan 2001,6.89,7.03,,6.94,90.8,9.36,0,
Nov 2013,4.83,7.78,100,7.29,95.2,5.61,8.5,
Dec 2003,4.67,7.31,100,6.79,95.1,9.22,0.1,5.08
May 2015,4.22,9.25,100,7.63,92.8,5.32,8.6,
May 1999,2.36,5.27,,4.46,98.2,,,
Jul 2011,6.21,13.71,100,9.59,95.3,7.30,5.2,4.86
Oct 2004,4.1,8.57,100,7.29,96.3,7.29,0.3,5.05
Aug 2015,5.59,13.68,100,9.33,91.1,6.65,4.4,
Dec 2013,4.75,6.93,100,6.79,95.6,5.78,8.1,
Sep 2011,6.49,12.46,100,9.41,93.9,8.61,5.7,5.30
Jun 1996,2.4,5.18,,3.79,92.5,,,
Dec 2010,4.69,7.34,100,7.14,95.1,5.72,6.3,5.22
Jan 2007,6.18,8.07,100,7.96,96.1,10.39,0.1,5.33
Jan 2013,4.02,6.79,100,6.60,96,5.09,9.3,
Mar 2009,5.2,9.00,100,6.80,94,5.00,0.4,3.73
Apr 2004,5.16,8.27,100,7.14,93.1,6.62,1.1,4.67
Oct 2005,6.95,12.31,100,11.07,96.8,8.40,0.4,10.31
Oct 2003,3.62,8.67,100,7.35,93.2,6.28,0.9,4.52
Apr 1990,2.88,4.41,,3.94,97.6,,,
Jan 1994,3.43,4.58,,4.27,95.9,,,
Oct 1997,2.71,5.96,,4.72,86.9,,,
May 2014,5.78,10.23,100,8.72,93.1,7.22,6.9,
Apr 2016,2.78,6.84,100,5.96,93.7,4.36,7.2,
Aug 1994,3.47,6.68,,4.72,91.7,,,
Jan 2005,5.69,8.78,100,8.36,95.7,7.53,0.8,
Apr 2009,4.63,7.80,100,6.65,94.6,4.43,0.8,3.67
Apr 1994,3.76,4.81,,4.34,94.9,,,
Feb 1999,2.07,4.88,,4.39,96.7,,,
Mar 2010,5.53,7.85,100,8.03,94.5,6.50,6,5.06
Feb 2001,4.97,8.54,,8.23,98.8,10.07,0.1,
May 2011,5.42,8.92,100,7.81,93,5.96,6.5,5.16
Jun 2002,3.65,9.42,100,5.97,95.9,4.66,1.7,2.11
Apr 2007,5.86,8.53,100,7.91,93.4,9.60,0.2,4.88
Jun 1994,3.82,5.88,,4.57,94.3,,,
May 1997,2.42,4.91,,4.08,93.7,,,
Nov 2004,6.22,8.89,100,8.30,95.2,8.08,0.2,6.80
Jun 2005,3.54,11.84,100,8.47,95.3,8.73,0.4,
May 2017,3.98,9.17,100,7.28,92.5,5.66,6,
Apr 2005,6.53,9.22,100,8.38,93.5,7.91,0.7,
Jun 1999,2.44,6.30,,4.67,97.7,,,
Oct 1989,2.94,5.27,,4.19,95.6,,,
Jun 1992,3.23,5.25,,4.23,96,,,
Feb 2010,5.65,7.95,100,8.10,95.5,6.75,5.3,6.07
Apr 1998,2.64,4.82,,4.35,95.8,,,
Dec 2016,3.61,6.46,100,6.18,95.7,4.75,9.4,
Aug 2000,3.56,9.22,,6.08,99.3,,,
Sep 2016,5.27,12.07,100,8.42,90.9,6.12,5.2,
Feb 1989,2.85,4.30,,3.95,98.1,,,
Mar 2002,3.15,5.66,100,5.32,96.5,5.79,1.4,2.92
Jan 2002,2.95,5.53,100,5.15,89.4,6.99,0.1,2.86
Sep 2015,5.6,13.17,100,9.17,91,6.22,5.7,
Feb 2005,5.75,8.68,100,8.22,94.6,7.58,0.8,
Jul 1997,2.67,6.91,,4.45,86.2,,,
Sep 1996,2.49,6.38,,3.93,90.6,,,
Dec 2017,3.44,6.84,100,6.62,95.7,5.04,8.7,
Sep 1998,0.63,8.50,,4.59,93.2,,,
Jun 2000,3.71,6.92,,5.14,95.8,,,
Feb 2013,4.09,7.05,100,6.84,95,5.36,10,
May 1993,3.02,4.62,,4.01,95.2,,,
Aug 1989,3.31,6.07,,4.36,91.8,,,
Sep 2010,5.89,10.43,100,7.44,93,5.30,2.9,4.64
Mar 2005,6.08,8.69,100,8.27,95.4,7.88,0.6,5.70
Sep 1999,2.98,7.64,,4.79,96.1,,,
Mar 2004,5.15,7.98,100,7.31,92.3,7.06,0.3,4.59
Dec 2011,4.23,7.43,100,7.05,92.6,6.75,8.6,4.17
Jul 2005,3.63,12.39,100,8.98,95.5,8.66,0.3,6.43
Jul 1992,3.32,5.78,,4.32,94.2,,,
Jan 2015,3.92,8.05,100,7.68,95.7,6.01,9.8,
Nov 1994,2.81,4.93,,4.43,93.2,,,
Feb 2008,7.38,9.19,100,8.65,96.4,6.20,0.8,7.76
Jun 2011,6.32,12.15,100,8.49,94.7,6.41,4.3,5.40
Oct 2016,4.73,9.71,100,8.00,92.5,6.08,5.5,
Apr 1993,2.78,4.41,,3.96,95.8,,,
Apr 2010,5.14,7.86,100,6.74,93.6,4.97,5.7,4.78
Aug 1993,3.46,6.08,,4.19,93.1,,,
Jan 2016,3.09,6.07,100,5.80,95.8,4.21,10.2,
Jul 2012,5.9,12.88,100,9.09,90.9,7.60,3.3,
Mar 1992,2.67,4.38,,3.97,95.9,,,
Nov 2008,5.76,8.78,100,8.25,95.8,8.98,0.6,4.20
Jan 1989,2.83,4.30,,3.95,98,,,
May 2010,5.2,8.02,100,7.18,93.8,4.65,5.3,4.95
Jun 2009,5.16,12.04,100,7.70,90.1,7.50,0.4,3.79
Sep 2007,5.64,11.43,100,8.13,95.6,7.12,0.7,2.10
Oct 2008,5.31,9.84,100,9.12,95.9,16.25,0.4,4.47
Feb 1993,2.67,4.22,,3.95,96.4,,,
Oct 2009,4.68,8.92,100,8.00,97.1,7.86,0.5,4.94
Sep 1992,3.67,5.89,,4.32,93.6,,,
Aug 1991,3.56,6.21,,4.39,93.9,,,
Aug 1998,2.26,7.56,,4.40,91.1,,,
Nov 2016,3.88,7.38,100,6.61,94.8,5.02,7.7,
Dec 1992,2.81,4.17,,3.84,96.2,,,
Jul 2017,5.09,14.70,100,9.53,91,6.35,5.4,
Nov 2010,4.18,7.56,100,7.22,95.5,5.71,5.5,4.99
Sep 2006,6.99,13.23,100,10.69,96.6,11.66,1,5.13
Sep 1991,3.49,6.14,,4.44,93.6,,,
Feb 1995,2.7,4.56,,4.24,96,,,
Jul 1998,2.09,6.43,,4.91,92,,,
Jun 1997,2.57,5.94,,4.23,92.9,,,
Jun 2003,2.18,9.31,100,6.92,96,4.26,0.9,5.13
Aug 2005,3.33,13.36,100,9.80,94.4,8.95,0.6,6.77
Jul 2001,3.31,12.60,,9.57,98.7,6.64,2.9,
May 2013,5.65,8.88,100,7.63,93.1,6.05,4.9,
Dec 2012,4.05,7.03,100,7.09,92.9,5.33,9,
Feb 1997,3.01,4.31,,3.83,95.4,,,
Aug 2008,9.05,16.13,100,11.42,94.8,10.01,0.5,7.43
Dec 2007,6.28,8.30,100,8.11,99.4,7.39,0.1,6.45
Nov 2002,3.01,4.80,100,4.35,96.9,5.49,0.6,3.01
Apr 2008,7.49,10.43,100,9.43,93.1,6.86,0.5,8.61
Oct 2017,3.96,8.44,100,7.25,94.1,7.00,6.2,
Sep 1990,3.38,6.03,,4.33,95.5,,,
Mar 1997,2.32,4.38,,3.97,94.4,,,
Feb 1990,2.8,4.29,,3.91,98,,,
Jul 1991,3.48,5.92,,4.40,93.7,,,
May 1991,3.09,4.68,,4.08,96.9,,,
Jul 1995,3.7,5.96,,4.56,92.3,,,
May 2007,6.31,10.48,100,8.81,89.3,7.55,0.5,4.38
Nov 2001,3.05,6.14,,5.18,100,4.12,0.4,
Nov 1996,3.13,4.31,,3.41,92.8,,,
Jan 1999,2.25,4.73,,4.42,97.5,,,
Jan 2003,3.62,4.56,100,4.23,95,7.12,0.1,3.30
Jan 2000,2.34,5.04,,4.77,98.8,,,
Nov 2015,3.24,6.92,100,6.40,95.6,5.20,9,
Nov 1989,2.73,4.75,,4.10,96.9,,,
Oct 2012,4.17,8.59,100,7.98,91,6.30,5.8,
Dec 2015,3.07,6.48,100,6.10,95.7,4.52,9.7,
Aug 2014,6.34,15.47,100,10.96,91,8.05,4.7,
Apr 2011,5.25,7.83,100,7.29,92.2,5.42,8.6,5.26
Oct 2002,2.08,5.27,100,4.27,96.1,4.65,0.7,2.36
Jun 2010,6.2,11.16,100,8.28,93.1,4.86,3.9,5.25
Mar 1990,2.79,4.31,,3.90,97.9,,,
